"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Abilene Christian",56.2052505966587,319,21.5962247820801,19,29.3388429752066,122,65.3937947494033,365
2026,"Air Force",52.54730713246,246,16.9922480620155,205,31.2039312039312,194,34.3522561863173,155
2026,"Akron",52.1520803443329,226,18.2614366905805,135,34.0476190476191,280,31.1334289813486,88
2026,"Alabama",47.5356679636835,68,13.8981691834826,343,33.8742393509128,277,32.5551232166018,119
2026,"Alabama A&M",53.3066132264529,265,16.9533371738952,208,30.1639344262295,152,40.4809619238477,279
2026,"Alabama St.",56.2809917355372,321,17.3894602905312,181,36.2068965517241,325,37.3553719008264,217
2026,"Albany",54.4612794612795,287,16.0524571367146,259,35.9281437125749,322,39.3939393939394,259
2026,"Alcorn St.",59.4534711964549,361,17.5035554096926,175,42.4157303370786,363,41.8020679468242,303
2026,"American",54.6728971962617,293,19.9430703134669,64,31.4285714285714,202,49.3457943925234,354
2026,"Appalachian St.",46.5571205007825,46,15.0257157401394,310,34.1346153846154,284,35.9937402190923,185
2026,"Arizona",45.6666666666667,31,19.4540534986471,86,25.9445843828715,29,31.8333333333333,99
2026,"Arizona St.",51.228323699422,184,20.135504924126,56,30.9178743961353,173,36.9942196531792,209
2026,"Arkansas",47.3103448275862,61,16.5867244313786,234,31.264367816092,196,24.8275862068966,15
2026,"Arkansas Pine Bluff",56.9884726224784,335,14.5321343321674,325,35.8090185676393,320,47.4063400576369,342
2026,"Arkansas St.",50.9544787077827,169,15.0823089420925,308,28.743961352657,106,39.7944199706314,270
2026,"Army",54.2158516020236,280,14.3338350175589,329,28.8571428571429,108,38.4485666104553,245
2026,"Auburn",50.509461426492,155,17.630713213453,170,31.8407960199005,217,27.9475982532751,42
2026,"Austin Peay",51.0679611650485,174,20.1685968644135,55,29.0625,115,35.3398058252427,172
2026,"BYU",45.9644322845417,40,19.1265350974889,92,28.6016949152542,103,24.0766073871409,11
2026,"Ball St.",52.5528169014084,247,19.4963444354184,84,34.441087613293,295,27.112676056338,31
2026,"Baylor",49.2979719188768,114,17.1799635266647,196,31.7333333333333,212,27.613104524181,37
2026,"Bellarmine",58.220502901354,352,16.3435412367975,246,34.1549295774648,285,36.3636363636364,195
2026,"Belmont",44.8598130841121,19,17.8532863004823,158,28.0241935483871,79,28.437917222964,52
2026,"Bethune Cookman",56.2809917355372,321,15.637609167369,281,36.6568914956012,332,38.5123966942149,246
2026,"Binghamton",56.4189189189189,324,13.7346744546252,349,32.1212121212121,230,31.0810810810811,84
2026,"Boise St.",48.5177865612648,91,16.6753517457009,229,23.1788079470199,5,34.5849802371541,159
2026,"Boston College",45.1367781155015,24,15.2363287072306,294,28.2352941176471,95,33.8905775075988,145
2026,"Boston University",56.4250411861615,325,15.1998466070526,297,31.3782991202346,199,37.8912685337727,233
2026,"Bowling Green",47.5,66,22.6192813665816,12,27.3026315789474,62,41.0416666666667,292
2026,"Bradley",50.8333333333333,164,22.8567780242933,10,29.5811518324607,133,41.6666666666667,300
2026,"Brown",47.8740157480315,73,19.0684011749895,94,30.9462915601023,176,29.4488188976378,63
2026,"Bryant",50.2989536621824,146,14.1450891718662,335,31.9796954314721,220,26.0089686098655,25
2026,"Bucknell",56.437125748503,326,18.0931860205688,144,29.639175257732,134,36.9760479041916,208
2026,"Buffalo",52.0535714285714,223,18.5188670367931,118,32.0987654320988,229,32.3214285714286,111
2026,"Butler",48.5791610284168,93,16.3395681685555,247,31.1363636363636,188,23.0040595399188,7
2026,"CSUN",52.5040387722132,241,15.6961766161091,276,28.9693593314763,111,33.2794830371567,130
2026,"Cal Baptist",48.8041853512706,100,17.4299795648515,180,25.1219512195122,20,40.0597907324365,275
2026,"Cal Poly",55.4285714285714,306,15.3503990231564,290,27.2952853598015,61,40.2857142857143,277
2026,"Cal St. Bakersfield",52.5641025641026,248,18.7131545257701,111,39.9503722084367,358,43.1372549019608,315
2026,"Cal St. Fullerton",54.5307443365696,289,16.7851880325453,219,25.4901960784314,24,40.9385113268608,289
2026,"California",45.738203957382,34,18.1154698292715,141,30.3102625298329,158,31.6590563165906,96
2026,"Campbell",53.8669064748201,274,15.9749825744589,264,31.8327974276527,216,37.0503597122302,211
2026,"Canisius",50.327868852459,148,15.0946108645259,307,31.7073170731707,211,34.2622950819672,154
2026,"Central Arkansas",51.4285714285714,190,17.8753918902534,157,26.3305322128852,38,32.1008403361345,102
2026,"Central Connecticut",51.0830324909747,175,14.8560817084494,316,29.3375394321767,121,25.812274368231,23
2026,"Central Michigan",55.5662188099808,313,15.1993887202363,298,35.5048859934853,316,40.8829174664107,287
2026,"Charleston",52.7407407407407,254,14.2933475821534,331,31.3725490196078,198,28.8888888888889,56
2026,"Charleston Southern",46.671826625387,47,12.3712741732658,364,28.5714285714286,102,38.6996904024768,248
2026,"Charlotte",52.5817555938038,250,15.7513835674755,273,29.3447293447293,123,43.0292598967298,312
2026,"Chattanooga",54.4291338582677,285,15.8265672010881,271,34.3859649122807,293,42.3228346456693,305
2026,"Chicago St.",58.8646967340591,358,18.4594236339536,126,38.8732394366197,355,39.9688958009331,272
2026,"Cincinnati",44.3410852713178,12,20.8976782064875,32,24.6376811594203,12,32.4031007751938,115
2026,"Clemson",45.4810495626822,29,16.0839804782222,257,25.2232142857143,21,33.9650145772595,146
2026,"Cleveland St.",57.3959938366718,342,15.1880548001437,301,38.6554621848739,354,36.055469953775,186
2026,"Coastal Carolina",45.4954954954955,30,13.3738795395564,353,27.1493212669683,55,43.8438438438438,319
