game_date,home_team,away_team,margin,total,home_score,away_score,overtime
2024-12-10,Tennessee,Miami,13,137,75,62,False
2024-12-10,Duke,Incarnate Word,26,118,72,46,False
2024-12-10,Arkansas,Michigan,2,176,89,87,False
2024-12-10,Houston,Troy,20,104,62,42,False
2024-12-10,Illinois,Wisconsin,6,166,86,80,False
2024-12-10,Southern,Lindsey Wilson,25,163,94,69,False
2024-12-10,UMBC,Cairn University,46,160,103,57,False
2024-12-10,Delaware,Chestnut Hill College,27,129,78,51,False
2024-12-10,Butler,North Dakota St.,-3,139,68,71,False
2024-12-10,Lindenwood,Harris-Stowe St.,46,152,99,53,False
2024-12-10,Hampton,Apprentice School,18,154,86,68,False
2024-12-10,N.C. State,Coppin St.,10,122,66,56,False
2024-12-10,Temple,Holy Family University,29,191,110,81,False
2024-12-10,Florida Atlantic,Jacksonville,22,148,85,63,False
2024-12-10,Davidson,Charlotte,4,146,75,71,False
2024-12-10,Princeton,Monmouth,4,138,71,67,False
2024-12-10,Rutgers,Penn St.,4,156,80,76,False
2024-12-10,Mercyhurst,Penn St.-Altoona,26,128,77,51,False
2024-12-10,Brown,Rhode Island,4,164,84,80,True
2024-12-10,Xavier,Morgan St.,61,177,119,58,False
2024-12-10,Queens University,Carolina University,38,144,91,53,False
2024-12-10,West Virginia,North Carolina Central,34,124,79,45,False
2024-12-10,Syracuse,UAlbany,17,187,102,85,False
2024-12-10,Saint Joseph's,Charleston,-3,153,75,78,False
2024-12-10,Nicholls,Southern-New Orleans,44,176,110,66,False
2024-12-10,Western Kentucky,Tennessee St.,24,144,84,60,False
2024-12-10,Little Rock,Ouachita Baptist,23,137,80,57,False
2024-12-10,South Dakota,Wyoming,1,163,82,81,False
2024-12-10,Tulane,Southern Miss,28,144,86,58,False
2024-12-10,DePaul,Providence,-7,133,63,70,True
2024-12-10,Denver,Colorado-Colorado Springs,7,181,94,87,False
2024-12-10,Cal St. Fullerton,La Sierra,6,116,61,55,False
2024-12-10,Montana,Montana Tech,29,149,89,60,False
2024-12-10,Portland,Kansas City,-5,133,64,69,False
2024-12-10,California,Cornell,-8,168,80,88,False
2024-12-10,San Diego,Long Beach St.,-6,146,70,76,False
2024-12-10,Washington,Eastern Washington,18,156,87,69,False
2024-12-11,Kentucky,Colgate,11,145,78,67,False
2024-12-11,San Diego St.,California Baptist,6,156,81,75,False
2024-12-11,Presbyterian,Columbia College (SC),40,154,97,57,False
2024-12-11,Baylor,Norfolk St.,25,163,94,69,False
2024-12-11,UNC Asheville,Bluefield University,46,138,92,46,False
2024-12-11,UMass Lowell,Long Island University,7,131,69,62,False
2024-12-11,Howard,Virginia-Lynchburg,74,174,124,50,False
2024-12-11,Northern Kentucky,Cumberland (KY),19,177,98,79,False
2024-12-11,Alabama St.,UT Martin,10,196,103,93,True
2024-12-11,Wright St.,Marshall,9,167,88,79,False
2024-12-11,Coastal Carolina,Southern Virginia,25,139,82,57,False
2024-12-11,Delaware St.,NJIT,12,130,71,59,False
2024-12-11,Duquesne,Maine,-5,117,56,61,False
2024-12-11,Stonehill,Lesley University,44,150,97,53,False
2024-12-11,Notre Dame,Dartmouth,12,142,77,65,False
2024-12-11,Villanova,Fairleigh Dickinson,14,158,86,72,False
2024-12-11,St. John's,Bryant,22,176,99,77,False
2024-12-11,Purdue Fort Wayne,IU Indy,2,154,78,76,False
2024-12-11,Green Bay,Milwaukee,-21,155,67,88,False
2024-12-11,East Carolina,North Alabama,-7,141,67,74,False
2024-12-11,Pittsburgh,Eastern Kentucky,40,152,96,56,False
2024-12-11,Louisville,UTEP,3,151,77,74,False
2024-12-11,UL Monroe,Arkansas Pine Bluff,16,162,89,73,False
2024-12-11,Utah Valley,North Dakota,23,137,80,57,False
2024-12-11,Louisiana,Southeastern Louisiana,7,129,68,61,False
2024-12-11,BYU,Fresno St.,28,162,95,67,False
2024-12-11,San Francisco,Stanislaus St.,16,120,68,52,False
2024-12-11,Nevada,South Dakota St.,14,140,77,63,False
2024-12-12,Iowa,Iowa St.,-9,169,80,89,False
2024-12-12,VMI,Regent,39,161,100,61,False
2024-12-12,Winthrop,Bob Jones,48,158,103,55,False
2024-12-12,The Citadel,Campbell,-28,144,58,86,False
2024-12-12,Virginia Tech,North Carolina A&T,28,162,95,67,False
2024-12-12,Virginia,Bethune-Cookman,18,100,59,41,False
2024-12-12,Arkansas St.,UT Arlington,4,162,83,79,False
2024-12-12,Evansville,Chattanooga,-8,142,67,75,False
2024-12-12,Texas,New Mexico St.,24,158,91,67,False
2024-12-12,Drake,St. Ambrose,55,125,90,35,False
2024-12-13,North Dakota St.,Wisconsin-Stout,29,153,91,62,False
2024-12-13,Merrimack,Boston University,3,125,64,61,False
2024-12-13,George Washington,Army,15,135,75,60,False
2024-12-13,Louisiana Tech,Georgia Southern,14,140,77,63,False
2024-12-13,UTSA,North Dakota,4,156,80,76,False
2024-12-13,Nebraska,Indiana,17,153,85,68,False
