rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
50,Jeremiah Fears,Oklahoma,,,Fr,6-4,2025,0,105.4,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0
51,Sterling Young,Florida A&M,,,Sr,6-1,2025,0,105.0,31.8,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Joe Bamisile,VCU,,,Sr,6-4,2025,0,104.8,29.2,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Noah Williamson,Bucknell,,,Jr,7-0,2025,0,104.5,31.0,0.0,0.0,0.0,63.2,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0
54,Devontae Blanton,Eastern Kentucky,,,Sr,6-6,2025,0,104.4,29.5,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
55,Brandon Walker,Montana St.,,,Jr,6-7,2025,0,104.2,35.9,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Jaland Lowe,Pittsburgh,,,So,6-3,2025,0,104.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,85.3
57,George Kimble,Eastern Kentucky,,,So,6-2,2025,0,103.9,31.9,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Jalin Anderson,Incarnate Word,,,Sr,6-3,2025,0,103.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Jackie Johnson,Fordham,,,Sr,5-11,2025,0,103.5,31.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Kory Mincy,Presbyterian,,,So,6-2,2025,0,103.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Primo Spears,UTSA,,,Sr,6-3,2025,0,103.2,28.8,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9
62,Zarique Nutter,Georgia St.,,,Sr,6-7,2025,0,103.2,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Desmond Claude,USC,,,Jr,6-6,2025,0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Chansey Willis,Western Michigan,,,Jr,6-2,2025,0,103.2,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0
65,Myles Tate,Appalachian St.,,,Sr,6-0,2025,0,102.9,30.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,35.9,0.0,0.0,0.0,0.0,89.9
66,Jalen Haynes,George Mason,,,Sr,6-8,2025,0,102.8,30.8,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Matthew-Alexander Moncrieffe,Seattle,,,Sr,6-8,2025,0,102.8,29.1,0.0,0.0,0.0,82.2,0.0,0.0,0.0,0.0,0.0,0.0,30.1,0.0,0.0
68,Robert Smith,Delaware St.,,,Sr,6-1,2025,0,102.8,0.0,0.0,0.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Dominique Daniels,Cal Baptist,,,Sr,5-10,2025,0,102.6,30.6,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Paul McMillan,Canisius,,,Jr,6-3,2025,0,102.6,31.4,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0
71,Amarri Monroe,Quinnipiac,,,Jr,6-7,2025,0,102.3,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0
72,Don McHenry,Western Kentucky,,,Sr,6-2,2025,0,102.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Taje' Kelly,Charleston Southern,,,Sr,6-7,2025,0,102.0,29.8,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3
74,Jakevion Buckley,Southeastern Louisiana,,,Sr,6-1,2025,0,101.9,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,0.0,0.0,0.0,0.0
75,Nick Spinoso,Penn,,,Sr,6-9,2025,0,101.8,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Sasa Ciani,Illinois Chicago,,,So,6-9,2025,0,101.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,29.3,0.0,0.0
77,Adam Clark,Merrimack,,,So,5-10,2025,0,101.6,35.7,0.0,0.0,33.7,0.0,0.0,0.0,0.0,42.6,0.0,0.0,0.0,0.0,91.7
78,Jalen Rucker,Army,,,Sr,5-10,2025,0,101.6,29.1,0.0,0.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Brooks Barnhizer,Northwestern,,,Sr,6-6,2025,0,101.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,0.0
80,Jizzle James,Cincinnati,,,So,6-3,2025,0,101.5,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Da'Sean Nelson,Eastern Michigan,,,Sr,6-8,2025,0,101.4,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Doctor Bradley,Arkansas Pine Bluff,,,Jr,6-8,2025,0,101.3,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,24.2,0.0,0.0
83,Mister Dean,USC Upstate,,,Fr,6-6,2025,0,101.3,31.8,0.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Devin Askew,Long Beach St.,,,Sr,6-5,2025,0,100.9,31.4,0.0,0.0,32.4,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,90.5
85,Jack Doumbia,Wright St.,,,Sr,6-6,2025,0,100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Robert McCray V,Jacksonville,,,Jr,6-4,2025,0,100.8,32.3,0.0,0.0,31.9,0.0,0.0,0.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0
87,Daeshun Ruffin,Jackson St.,,,Jr,5-11,2025,0,100.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0
88,Abdi Bashir,Monmouth,,,So,6-7,2025,0,99.9,31.7,0.0,0.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0
89,Great Osobor,Washington,,,Sr,6-8,2025,0,99.6,29.6,0.0,0.0,0.0,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Julian Mackey,Houston Christian,,,Sr,6-2,2025,0,99.5,30.8,0.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Mehki Ellison,Stetson,,,Jr,6-0,2025,0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,JJ Starling,Syracuse,,,Jr,6-4,2025,0,98.9,0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Money Williams,Montana,,,So,6-4,2025,0,98.8,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Addison Patterson,Northwestern St.,,,Jr,6-7,2025,0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Mostapha El Moutaouakkil,Louisiana,,,Jr,6-6,2025,0,97.9,32.6,0.0,0.0,30.2,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Brayon Freeman,Bethune Cookman,,,Sr,6-2,2025,0,97.9,29.6,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Ryan Cornish,Dartmouth,,,Sr,6-4,2025,0,97.8,31.9,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Ahmad Robinson,Mercer,,,Sr,5-10,2025,0,97.6,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0
99,Sebastian Akins,Denver,,,Fr,6-2,2025,0,97.5,29.0,0.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,James White,New Orleans,,,Sr,6-5,2025,0,97.1,29.7,0.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0
102,Bennett Stirtz,Drake,,,Jr,6-4,2025,0,126.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.5,98.8
103,AK Okereke,Cornell,,,Jr,6-7,2025,0,125.9,0.0,61.9,66.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,0.0
104,Braden Huff,Gonzaga,,,So,6-10,2025,0,125.2,0.0,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0
105,Nick Townsend,Yale,,,Jr,6-7,2025,0,125.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Bent Leuchten,UC Irvine,,,Sr,7-1,2025,0,124.5,0.0,0.0,64.5,0.0,76.4,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0
109,John Tonje,Wisconsin,,,Sr,6-5,2025,0,123.8,0.0,0.0,64.7,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Jacob Ognacevic,Lipscomb,,,Sr,6-8,2025,0,123.8,0.0,63.1,67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
111,Essam Mostafa,Middle Tennessee,,,Sr,6-9,2025,0,123.8,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,23.0,0.0,0.0
112,Yaxel Lendeborg,UAB,,,Sr,6-9,2025,0,123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0
114,Daniel Batcho,Louisiana Tech,,,Sr,6-11,2025,0,122.4,0.0,66.7,69.6,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,JJ White,Nebraska Omaha,,,Sr,6-2,2025,0,122.2,0.0,0.0,62.8,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0
