rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
158,Mark Sears,Alabama,,,Sr,6-1,2025,0,116.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Malique Ewin,Florida St.,,,Jr,6-11,2025,0,116.1,0.0,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0
160,Adou Thiero,Arkansas,,,Jr,6-8,2025,0,116.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Braden Smith,Purdue,,,Jr,6-0,2025,0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0,0.0,0.0,0.0,92.4
162,Brenen Lorient,North Texas,,,Jr,6-9,2025,0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Nick Davidson,Nevada,,,Jr,6-10,2025,0,115.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,VJ Edgecombe,Baylor,,,Fr,6-5,2025,0,115.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Ronald Polite,UNC Greensboro,,,Sr,6-2,2025,0,115.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Collin Murray-Boyles,South Carolina,,,So,6-8,2025,0,115.8,0.0,59.9,63.0,0.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0
167,Kobe Sanders,Nevada,,,Sr,6-9,2025,0,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
168,AC Bryant,Alabama A&M,,,Jr,6-3,2025,0,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
